stream_id,fraction,exact,estimate
1,0.1,993,974.128
1,0.2,1954,1896.77
1,0.3,2931,2882.74
1,0.5,4872,4664.09
1,0.7,6800,6929.53
1,1,9711,9690.03
2,0.1,993,949.1
2,0.2,1969,1913.38
2,0.3,2948,2918.66
2,0.5,4893,5147.76
2,0.7,6834,6768.03
2,1,9736,9568.04
3,0.1,994,1006.86
3,0.2,1967,1905.97
3,0.3,2944,2928.97
3,0.5,4890,5030.14
3,0.7,6826,6475.25
3,1,9716,9218.89
4,0.1,993,1034.64
4,0.2,1982,2001.22
4,0.3,2950,2937.44
4,0.5,4897,4966.89
4,0.7,6829,6671.66
4,1,9724,9610.45
5,0.1,992,990.162
5,0.2,1969,1984.98
5,0.3,2934,2853.54
5,0.5,4860,4683.85
5,0.7,6807,6558.86
5,1,9705,9453.95
